,measure_number,beat_number,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
0,1,0,0.773878,0.7538779999999999,0.9138780000000001,1.673878,1.6138780000000001,0.693878,1.0938780000000001,1.073878,0.253878,0.333878,0.31387800000000005,1.3338780000000001,0.693878,1.833878,1.293878,1.213878,0.6338779999999999,0.113878,0.493878,0.9338780000000001,1.933878,0.713878,1.073878,0.993878,0.41387799999999997,2.0938779999999997,0.353878,0.813878,0.973878,0.45193900000000004,0.353878,1.321939,0.493878,0.7338779999999999,0.8938780000000001,0.193878,0.713878,1.9938779999999998,0.673878,0.513878,0.773878,1.1138780000000001,0.433878,0.521939,0.813878,1.1338780000000002,0.573878,0.37387800000000004,0.253878,0.333878,0.713878,0.673878,0.37387800000000004,0.9338780000000001,0.593878,0.45387799999999995
1,1,1,1.140408,1.090816,1.431633,2.113265,2.010816,1.080408,1.420408,1.621224,0.580408,0.711633,0.760408,1.8004080000000002,1.020408,2.272449,1.6908159999999999,1.7612240000000001,1.002041,0.590816,0.800408,1.260408,2.381224,1.040408,1.560408,1.4508159999999999,0.740408,2.610816,0.930816,1.220408,1.300408,0.760408,0.770816,1.620408,1.000408,1.080408,1.220408,1.06449,1.200408,2.320408,1.040408,1.030816,1.040408,1.602041,0.760408,0.850816,1.250816,1.540408,0.9212239999999999,0.880408,0.580408,0.821224,1.2932649999999999,1.020408,0.741224,1.402041,1.041224,1.141224
2,1,2,1.4522680000000001,1.432268,1.832268,2.492268,2.332268,1.492268,1.732268,1.992268,0.872268,1.092268,1.2122680000000001,2.172268,1.332268,2.632268,2.032268,2.0922680000000002,1.392268,1.012268,1.112268,1.572268,2.772268,1.352268,1.872268,1.772268,1.052268,3.052268,1.332268,1.532268,1.632268,1.072268,1.092268,1.932268,1.372268,1.392268,1.492268,1.4722680000000001,1.592268,2.572268,1.432268,1.352268,1.352268,1.9722680000000001,1.072268,1.232268,1.672268,1.852268,1.252268,1.292268,0.852268,1.152268,1.672268,1.372268,1.132268,1.832268,1.4722680000000001,1.652268
3,2,0,1.74449,1.72449,2.12449,2.7844900000000004,2.62449,1.8244900000000002,2.00449,2.2844900000000004,1.16449,1.38449,1.52449,2.47898,1.62449,2.92449,2.32449,2.30449,1.68449,1.3189799999999998,1.40449,1.8934689999999998,3.12449,1.6444900000000002,2.17898,1.98449,1.26449,3.38449,1.62449,1.8044900000000001,1.9244900000000003,1.288163,1.38449,2.1844900000000003,1.6644900000000002,1.68449,1.74449,1.7844900000000001,1.8644900000000002,2.84449,1.72449,1.62449,1.60449,2.2644900000000003,1.36449,1.52449,2.00449,2.12449,1.54449,1.6444900000000002,1.14449,1.38449,2.04449,1.6644900000000002,1.40449,2.12449,1.7644900000000001,2.05898
4,2,1,2.086531,2.0665310000000003,2.4665310000000003,3.206531,2.9465310000000002,2.226531,2.326531,2.646531,1.466531,1.786531,1.966531,2.926531,1.9265310000000002,3.3265309999999997,2.706531,2.586531,2.126531,1.746531,1.726531,2.206531,3.526531,1.9465310000000002,2.5065310000000003,2.286531,1.566531,3.966531,2.0665310000000003,2.106531,2.246531,1.586531,1.786531,2.4865310000000003,1.986531,2.0665310000000003,2.0065310000000003,2.226531,2.166531,3.086531,2.106531,1.9465310000000002,1.9065310000000002,2.5665310000000003,1.6665310000000002,1.8865310000000002,2.4465310000000002,2.386531,1.8465310000000001,2.086531,1.446531,1.6865310000000002,2.5265310000000003,2.0465310000000003,1.746531,2.606531,2.146531,2.4865310000000003
5,2,2,2.364082,2.364082,2.764082,3.584082,3.224082,2.504082,2.544082,2.924082,1.7040819999999999,2.144082,2.284082,3.244082,2.204082,3.6181629999999996,2.984082,2.769014,2.484082,2.044082,2.004082,2.504082,3.904082,2.224082,2.8240819999999998,2.524082,1.7946939999999998,4.424082,2.3440819999999998,2.384082,2.524082,1.847041,2.078163,2.724082,2.264082,2.3440819999999998,2.244082,2.644082,2.404082,3.3240819999999998,2.384082,2.224082,2.144082,2.8240819999999998,1.937041,2.164082,2.864082,2.624082,2.084082,2.424082,1.764082,1.90852,2.924082,2.304082,2.024082,2.884082,2.424082,2.864082
6,3,0,2.666122,2.666122,3.066122,3.946122,3.546122,2.946122,2.8461220000000003,3.246122,2.006122,2.446122,2.686122,3.686122,2.506122,3.986122,3.3261220000000002,3.026122,2.8461220000000003,2.4061220000000003,2.3261220000000002,2.8061220000000002,4.286122,2.546122,3.126122,2.8261220000000002,2.066122,4.886122,2.726122,2.686122,2.8261220000000002,2.146122,2.4261220000000003,3.006122,2.566122,2.646122,2.546122,2.966122,2.706122,3.606122,2.746122,2.526122,2.446122,3.106122,2.206122,2.506122,3.286122,2.8661220000000003,2.3861220000000003,2.8261220000000002,2.066122,2.206122,3.3461220000000003,2.706122,2.3861220000000003,3.3461220000000003,2.766122,3.206122
7,3,1,2.968163,2.968163,3.4081629999999996,4.248163,3.8481629999999996,3.248163,3.069388,3.5481629999999997,2.268163,2.748163,2.988163,3.9881629999999997,2.808163,4.288163,3.628163,3.2816330000000002,3.1681630000000003,2.728163,2.6281630000000002,3.1081630000000002,4.608162999999999,2.829082,3.4681629999999997,3.028163,2.309388,5.3081629999999995,3.028163,2.968163,3.089388,2.408163,2.746327,3.268163,2.906327,2.948163,2.788163,3.342653,2.968163,3.9081629999999996,3.068163,2.769541,2.629082,3.4081629999999996,2.468163,2.808163,3.648163,3.1281630000000002,2.6681630000000003,3.1481630000000003,2.368163,2.424023,3.748163,3.048163,2.6681630000000003,3.688163,3.088163,3.628163
8,3,2,3.3110199999999996,3.3110199999999996,3.7910199999999996,4.6310199999999995,4.19102,3.61102,3.4110199999999997,3.9110199999999997,2.61102,3.13102,3.4710199999999998,4.41102,3.15102,4.6710199999999995,3.99102,3.57102,3.59102,3.21102,2.95102,3.4510199999999998,5.011019999999999,3.17102,3.8310199999999996,3.3710199999999997,2.59102,5.83102,3.51102,3.27102,3.4310199999999997,2.75102,3.09102,3.61102,3.25102,3.27102,3.09102,3.6910199999999995,3.27102,4.11102,3.4110199999999997,3.11102,2.97102,3.7510199999999996,2.77102,3.15102,4.1710199999999995,3.3510199999999997,3.0110200000000003,3.55102,2.71102,2.73102,4.2110199999999995,3.4510199999999998,3.0110200000000003,4.212041,3.4710199999999998,4.03102
9,4,0,3.590204,3.650204,4.1902040000000005,4.990204,4.570204,4.030204,3.6434010000000003,4.270204,2.890204,3.510204,3.830204,4.770204,3.510204,5.010204,4.310204,3.890204,3.9502040000000003,3.570204,3.270204,3.810204,5.410204,3.4902040000000003,4.2302040000000005,3.690204,2.850204,6.290204,3.870204,3.610204,3.750204,3.090204,3.4502040000000003,3.9102040000000002,3.650204,3.630204,3.370204,4.2302040000000005,3.530204,4.390204,3.790204,3.4302040000000003,3.190204,4.110204,3.070204,3.510204,4.590204,3.650204,3.270204,3.9302040000000003,3.110204,3.030204,4.870204,3.790204,3.330204,4.630204,3.830204,4.530408
10,4,1,3.949388,3.9596940000000003,4.709388,5.349387999999999,4.849387999999999,4.449388,3.989388,4.649388,3.249388,3.8093879999999998,4.189388,5.249388,3.869388,5.409388,4.729388,4.209388,4.429387999999999,4.149388,3.5796940000000004,4.169388,5.769387999999999,3.7893879999999998,4.649388,4.0493879999999995,3.129388,6.729388,4.409388,3.969388,4.109388,3.449388,3.7893879999999998,4.309387999999999,4.129388,4.0093879999999995,3.6493879999999996,4.589388,3.889388,4.689388,4.129388,3.7893879999999998,3.5493879999999995,4.4693879999999995,3.429388,3.8564629999999998,5.149388,3.989388,3.5893879999999996,4.309387999999999,3.489388,3.389388,5.729388,4.329388,3.7093879999999997,5.088776,4.369388,5.0093879999999995
11,4,2,4.238367,4.238367,5.158367,5.678367,5.198367,4.958367,4.198367,4.998367,3.6783669999999997,4.198367,4.598367,5.698367,4.318366999999999,5.758367,5.118367,4.658367,4.878367,4.665306,3.858367,4.598367,6.118367,4.064184,5.158367,4.578367,3.5583669999999996,7.098367,4.9783669999999995,4.3983669999999995,4.558367,3.878367,4.118367,4.766735,4.798367,4.358366999999999,3.938367,5.326735,4.238367,5.038367,4.4383669999999995,4.118367,3.818367,5.0267349999999995,3.798367,4.118367,5.686735,4.378367,3.878367,4.758367,4.158367,3.838367,6.6067350000000005,4.795102,4.058367,5.5667349999999995,4.818366999999999,5.618367
