,,pid1263-21,pid50848-05,pid51495-04,pid5667249-16,pid5667291-17,pid9048-21,pid9049-21,pid9050-21,pid9054-21,pid9055-21,pid9058-21,pid9059-21,pid9060-21,pid9061-21,pid9062-21,pid9063-21,pid9064-11,pid9065-16,pid9066-21,pid9070b-04,pid9072-21,pid9074f-21,pid9075-21,pid9081-12,pid9088-16,pid9089-16,pid9093-21,pid9094-21,pid9099-21,pid9100b-21,pid9101b-03,pid9103-11,pid9104-21,pid9105b-04,pid9111-21,pid9113-17,pid9114b-11,pid9116-09,pid9118-21,pid9122-05,pid9123-04,pid9129-16,pid9130-05,pid9138-21,pid9139-21,pid9153-21,pid915411-09,pid9158-12,pid9166f-18,pid9170-21,pid9174-21,pid9185-10,pid9186c-21,pid918904-06,pid9192-21
1,0,0.79,0.19,0.59,3.19,1.77,1.69,1.94,0.51,1.11,0.77,0.35,0.316667,0.28,1.65,0.11,1.53,0.49,0.99,1.39,0.53,0.41,1.55,0.65,0.65,1.09,1.97,1.11,0.95,0.35,1.196667,0.59,0.55,0.61,0.903333,0.583333,0.61,0.37,0.81,2.13,0.64,1.31,0.47,1.15,0.69,0.79,0.59,0.43,0.603333,0.65,0.33,0.37,0.51,1.17,0.53,0.47
1,1,1.459388,0.859388,1.259388,3.859388,2.439388,2.339388,2.579388,1.359388,2.099388,1.411837,1.019388,0.919388,0.827347,2.319388,0.819388,1.959388,1.119388,1.659388,2.059388,1.179388,1.079388,2.059337,1.319388,1.279388,1.759388,2.406626,1.779388,1.579388,1.019388,1.839388,1.179388,1.155338,1.459388,1.539388,1.219388,1.559388,1.039388,1.499388,2.539337,1.259388,1.959388,0.919388,1.899388,1.049337,1.205627,1.259388,0.739388,1.178126,1.239388,0.999388,0.979388,1.179388,1.839388,1.058788,1.099388
1,2,2.073265,1.823061,2.203061,4.373265,3.133265,2.993265,3.233265,2.299796,3.133265,1.703061,1.963061,1.456531,1.613265,3.633265,1.713265,2.733265,1.999796,2.413265,2.973265,2.019796,1.819796,2.713265,2.013265,1.893265,2.553265,3.173265,2.473265,2.313265,1.639796,2.616531,1.879796,1.899796,2.436531,2.353265,2.113265,2.496531,1.833265,2.193265,3.113265,2.096531,2.673265,1.619796,2.879796,1.853265,2.036531,2.006327,1.493265,1.593265,1.959796,1.859796,1.773265,1.763061,2.333265,1.473265,1.693265
2,0,2.654898,2.394898,2.834898,4.834898,3.654898,3.554898,3.639796,2.934898,3.774898,3.464694,2.534898,1.954898,2.074898,4.294898,2.254898,3.294898,2.554898,2.934898,3.454898,2.554898,2.294898,3.214898,2.494898,2.454898,3.014898,3.634898,2.934898,2.834898,2.134898,3.139796,2.314898,2.454898,2.954898,2.894898,2.614898,3.074898,2.254898,2.674898,3.594898,2.754898,3.134898,2.194898,3.454898,2.414898,2.534898,2.714898,2.054898,1.974898,2.514898,2.394898,2.254898,2.354898,2.774898,1.954898,2.234898
2,1,3.157347,2.897347,3.417347,5.397347,4.177347,4.137347,4.217347,3.457347,4.397347,3.997347,3.057347,2.517347,2.577347,4.917347,2.817347,3.917347,3.017347,3.517347,3.877347,3.177347,2.797347,3.737347,3.017347,2.957347,3.517347,4.157347,3.457347,3.357347,2.697347,3.677347,2.877347,3.017347,3.477347,3.537347,3.217347,3.557347,2.657347,3.117347,4.097347,3.197347,3.617347,2.797347,3.917347,2.957347,2.997347,3.197347,2.557347,2.357347,3.217347,2.917347,2.717347,2.777347,3.177347,2.437347,2.817347
2,2,3.696122,3.656122,4.116122,6.276122,5.096122,4.796122,4.716122,4.196122,5.183061,4.856122,3.796122,2.996122,3.076122,5.756122,3.636122,4.516122,3.536122,4.296122,4.256122,3.756122,3.276122,4.296122,3.556122,3.576122,4.036122,4.876122,3.996122,3.956122,3.236122,4.496122,3.543061,3.736122,4.076122,4.356122,3.816122,4.096122,3.116122,3.656122,4.496122,3.616122,4.056122,3.376122,4.656122,3.456122,3.476122,3.736122,3.116122,2.836122,3.776122,3.756122,3.056122,3.556122,3.676122,2.896122,3.456122
3,0,4.473673,4.413673,4.973673,6.753673,5.613673,5.473673,5.373673,5.333673,5.693673,5.553673,4.533673,3.733673,3.733673,6.793673,4.733673,5.293673,4.073673,5.333673,4.853673,4.613673,3.993673,5.013673,4.233673,4.413673,5.073673,5.493673,4.651224,4.633673,3.873673,5.533673,4.093673,4.373673,4.873673,5.313673,4.773673,4.473673,3.493673,4.333673,5.013673,4.093673,4.633673,4.033673,5.353673,4.133673,4.093673,4.413673,3.573673,3.473673,4.733673,4.380612,3.753673,4.593673,4.393673,3.753673,4.153673
3,1,5.177347,5.108673,5.724694,7.504694,6.184694,6.184694,6.024694,6.124694,6.324966,6.209116,5.264694,4.384694,4.256224,7.544694,5.404694,5.824694,4.764694,6.028673,5.324694,5.264694,4.744694,5.704694,4.984694,4.944694,5.764694,6.175746,5.164694,5.206224,4.361565,6.284694,4.660247,5.124694,5.684694,6.004694,5.524694,5.129116,3.947699,4.880427,5.683528,4.844694,5.198465,4.744694,5.964966,4.788673,4.844694,4.896735,4.214411,3.920939,5.02698,5.084694,4.364694,5.154735,4.823112,4.384337,4.700247
3,2,5.714898,5.974898,6.654898,8.134898,7.094898,7.034898,6.474898,7.194898,6.974898,7.094898,6.114898,5.014898,4.954898,8.434898,6.254898,6.654898,5.474898,6.834898,6.158299,6.034898,5.514898,6.314898,5.694898,5.654898,6.454898,6.634898,5.914898,6.134898,5.134898,7.014898,5.114898,6.114898,6.574898,6.934898,6.454898,6.034898,4.442449,5.594898,6.074898,5.734898,5.594898,5.334898,6.914898,5.214898,5.294898,5.494898,4.574898,4.364966,5.854898,5.794898,5.052449,5.774898,5.274898,4.874898,5.334898
4,0,6.304694,6.504694,7.314082,8.584694,7.504694,7.524694,6.888231,7.804694,7.534082,7.544694,6.664694,5.504694,5.444694,9.024694,6.784694,7.264694,5.884694,7.304694,6.584694,6.524694,6.004694,6.807347,6.184694,6.204694,6.844694,6.984694,6.404694,6.964694,5.627347,7.467347,5.568231,6.587347,7.064694,7.444694,7.104694,6.524694,4.884694,6.027347,6.584694,6.564694,6.064694,5.824694,7.444694,5.764694,5.784694,6.024694,5.084694,4.704694,6.304694,6.364694,5.404694,6.427347,5.734898,5.384694,6.084694
