,measure_number,beat_number,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
0,1,2,0.7338779999999999,0.7538779999999999,1.413878,1.3538780000000001,1.413878,1.673878,0.6138779999999999,0.9138780000000001,0.993878,0.29387800000000003,0.153878,0.29387800000000003,0.281939,0.6138779999999999,0.673878,1.3538780000000001,0.45387799999999995,1.053878,0.41387799999999997,0.213878,0.813878,1.7738779999999998,0.273878,0.793878,0.29387800000000003,1.473878,1.013878,0.973878,0.333878,0.6138779999999999,0.45387799999999995,0.493878,0.193878,0.813878,0.773878,0.517755,0.273878,0.6138779999999999,0.353878,0.593878,1.7338779999999998,0.45387799999999995,0.31387800000000005,0.7538779999999999,0.973878,0.433878,0.493878,0.553878
1,2,0,1.24,1.38,2.18,1.9,2.86,2.16,1.18,1.413333,1.64,0.8,0.62,0.8,0.78,1.1,1.138333,1.86,0.9127270000000001,1.56,0.92,0.84,1.36,2.28,0.78,1.202222,0.88,2.12,1.52,1.54,0.84,1.26,1.24,1.0,0.7,1.32,1.28,1.04,0.82,1.12,0.88,1.1,2.175,0.96,0.82,1.26,1.435,1.12,1.0,1.06
2,2,1,1.672653,1.8326529999999999,2.612653,2.332653,3.292653,2.552653,1.6126530000000001,1.7726529999999998,2.072653,1.232653,0.9926530000000001,1.192653,1.072653,1.532653,1.352653,2.292653,1.1126530000000001,1.9926529999999998,1.242832,1.272653,1.7926529999999998,2.712653,0.892653,1.312653,1.312653,2.552653,1.8326529999999999,1.972653,1.272653,1.692653,1.672653,1.312653,1.092653,1.751327,1.712653,1.452653,1.252653,1.532653,1.312653,1.532653,2.4326529999999997,1.3926530000000001,1.1526530000000001,1.6585310000000002,1.8126529999999998,1.552653,1.4326530000000002,1.492653
3,2,2,2.137143,2.257143,3.037143,2.937143,3.717143,2.977143,2.037143,2.197143,2.4935709999999998,1.657143,1.417143,1.617143,1.4971430000000001,2.117143,1.7771430000000001,3.057143,1.544286,2.3971430000000002,1.577143,1.737143,2.217143,3.317143,1.317143,1.737143,1.737143,3.097143,2.257143,2.3971430000000002,1.657143,2.117143,2.177143,1.737143,1.477143,2.157143,2.137143,1.857143,1.917143,1.943571,1.737143,1.957143,2.857143,1.817143,1.577143,2.037143,2.237143,1.977143,1.837143,1.917143
4,3,0,2.476327,2.636327,3.396327,3.296327,4.076327,3.336327,2.376327,2.556327,2.8363270000000003,2.016327,1.6763270000000001,1.9131630000000002,1.756327,2.436327,2.038776,3.4363269999999995,1.942653,2.676327,1.896327,2.096327,2.576327,3.6963269999999997,1.575265,2.0552650000000003,2.045442,3.416327,2.576327,2.736327,2.016327,2.476327,2.616327,2.056327,1.836327,2.456327,3.7763269999999998,2.176327,2.216327,2.2963270000000002,2.116327,2.2963270000000002,3.153163,2.176327,1.9563270000000001,2.396327,2.533163,2.376327,2.136327,2.2963270000000002
5,3,1,2.868163,3.048163,3.748163,3.708163,4.468163,3.728163,2.768163,2.948163,3.248163,2.408163,1.9881630000000001,2.268163,2.028163,2.808163,2.348163,3.8481629999999996,2.368163,3.042721,2.2081630000000003,2.488163,2.968163,4.108162999999999,1.888163,2.348163,2.348163,3.8081629999999995,2.948163,3.1281630000000002,2.448163,2.948163,3.028163,2.488163,2.228163,2.788163,4.368163,2.508163,2.6081630000000002,2.6881630000000003,2.528163,2.6881630000000003,3.4281629999999996,2.568163,2.348163,2.749388,2.868163,2.768163,2.468163,2.728163
6,3,2,3.278639,3.538639,4.398639,4.364558000000001,4.898639,4.099546,3.198639,3.3786389999999997,3.798639,2.838639,2.4186389999999998,2.7272790000000002,2.438639,3.278639,2.778639,4.438639,2.798639,3.38216,2.638639,3.098639,3.3986389999999997,4.538639,2.318639,2.694903,2.6955400000000003,4.238639,3.3786389999999997,3.578639,2.8786389999999997,3.3786389999999997,3.598639,2.938639,2.658639,3.218639,4.918639,2.938639,3.038639,3.118639,2.958639,3.118639,3.858639,3.018639,2.858639,3.178639,3.298639,3.358639,2.8986389999999997,3.158639
7,4,0,3.696599,3.9765989999999998,4.816599,4.816599,5.356599,4.496599,3.616599,3.7765989999999996,4.2165989999999995,3.256599,2.716599,3.236599,2.581509,3.696599,3.0165990000000003,4.896599,3.216599,3.7765989999999996,3.015825,3.516599,3.8165989999999996,5.076599,2.5765990000000003,2.896599,2.876599,4.446186,3.7077660000000003,3.996599,3.3765989999999997,3.7965989999999996,4.036599,3.3565989999999997,2.9965990000000002,3.516599,5.556598999999999,3.2965989999999996,3.3965989999999997,3.536599,3.3765989999999997,3.536599,4.08555,3.3965989999999997,3.263299,3.513299,3.716599,3.7765989999999996,3.276599,3.656599
8,4,1,4.215215,4.552608,5.292608,5.292608,5.852608,4.881304,4.192608,4.241304,4.692608,3.7326080000000004,3.1926080000000003,3.7126080000000004,2.912608,4.172608,3.492608,5.3726080000000005,3.6926080000000003,4.252608,3.372608,3.772608,4.292608,5.632608,3.012608,3.272608,3.272608,4.812608,4.152608,4.472608,3.852608,4.272608,4.752608,3.852608,3.472608,3.992608,6.032608,3.772608,3.872608,4.012608,3.912608,4.012608,4.512608,3.872608,3.6326080000000003,3.884203,4.172608,4.292608,3.7526080000000004,4.112608
9,4,2,4.663424,4.926712,5.666712,5.686712,6.226712,5.218356,4.566712,4.586712,5.086712,4.086712,3.5267120000000003,4.126712,3.168356,4.526712,3.744589,5.726712,4.066712,4.556119,3.7022370000000002,3.8697470000000003,4.766712,6.046712,3.43356,3.5883559999999997,3.562237,5.166712,4.506712,4.846712,4.2867120000000005,4.646712,5.230272,4.276848,3.826712,4.326712000000001,6.476848,4.098356,4.202237,4.366712000000001,4.366712000000001,4.366712000000001,4.826712000000001,4.266712,3.9667120000000002,4.226712,4.526712,4.726712,4.086712,4.566712
