,,pid1263b-11,pid51495-01,pid52932-23,pid5667249-23,pid5667271-02,pid5667291-11,pid58917-05,pid610003b-15,pid9048b-15,pid9049b-11,pid9050b-11,pid9054b-11,pid9055b-11,pid9056-05,pid9058b-11,pid9059b-15,pid9060b-09,pid9061b-08,pid9062b-14,pid9063b-15,pid9064-20,pid9065-26,pid9066b-11,pid9068-19,pid9069-11,pid9070b-23,pid9072b-15,pid9073b-15,pid9074g-11,pid9075b-11,pid9088-21,pid9089-06,pid9090-20,pid9093b-17,pid9094b-11,pid9097-23,pid9099b-15,pid9101c-05,pid9103-19,pid9104b-11,pid9111b-13,pid9112-10,pid9113-11,pid9114-33,pid9116-18,pid9118b-15,pid9119-13,pid9127-07,pid9130-10,pid9138b-11,pid9139b-11,pid9153b-11,pid9158-13,pid9166l-09,pid9170b-11,pid9174b-11,pid9176-04,pid9185-04,pid9190-10,pid9192b-11
1,0,0.777143,0.557143,0.683571,0.797143,1.277143,1.217143,1.337143,1.957143,1.657143,1.577143,0.657143,1.057143,0.777143,0.277143,0.177143,0.337143,0.497143,1.337143,0.637143,2.037143,0.477143,0.979048,0.697143,0.137143,0.457143,0.517143,0.377143,1.137143,1.677143,0.277143,0.497143,2.017143,1.737143,0.917143,1.017143,1.019429,0.337143,0.637143,0.363571,0.603571,0.137143,0.681786,0.443571,0.777143,0.937143,2.057143,0.297143,0.457143,1.137143,0.697143,0.737143,0.503571,0.537143,1.223571,1.019048,0.317143,1.137143,0.457143,0.957143,0.519048
1,1,2.032245,1.512245,1.552245,1.93449,2.252245,2.292245,2.972245,3.172245,2.612245,2.332245,1.872245,2.012245,1.752245,1.232245,1.512245,1.132245,1.032245,2.452245,1.492245,3.132245,1.032245,1.852245,1.712245,1.132245,1.532245,1.472245,1.292245,2.332245,2.432245,0.972245,1.732245,2.912245,2.612245,2.012245,2.092245,1.912224,1.292245,1.712245,1.132245,1.772245,1.352245,1.512245,1.512245,1.732245,1.872245,3.212245,1.092245,1.412245,2.192245,1.852245,1.632245,1.392245,1.372245,1.972245,1.932245,1.172245,1.612245,1.332245,1.932245,1.372245
1,2,2.725714,2.585714,2.405714,2.893571,3.325714,3.385714,4.341429,4.045714,3.485714,3.085714,2.745714,3.041429,2.627857,2.057959,2.925714,1.925714,1.925714,3.545714,2.352619,3.885714,2.165714,2.645714,2.705714,2.105714,2.405714,2.305714,2.345714,3.155952,3.345714,1.725714,3.045714,3.805714,3.395048,3.205714,3.145714,2.625714,2.145714,2.525714,1.955571,2.705714,2.565714,2.005714,2.605714,2.845714,2.765714,4.245714,1.685714,2.285714,3.045714,2.665714,2.265714,2.865714,2.445714,2.63398,2.765714,1.985714,2.325714,2.225714,2.965714,2.135824
2,0,3.315102,3.515102,2.985034,3.335102,4.255102,3.905015,5.355102,4.595102,4.155102,3.521162,3.295102,3.715102,3.255102,2.48085,3.595102,2.490638,2.353222,4.615102,2.874184,4.491701,2.775102,3.116276,3.375102,2.73502,3.155102,2.895102,2.955102,3.755102,3.941276,2.151701,3.715102,4.068854,3.855102,3.855102,3.795102,3.675102,2.695102,3.04302,2.441276,3.375102,3.155102,2.535102,3.1941,3.437092,3.475102,4.895102,2.065034,2.932551,4.075102,3.335102,2.835102,3.535102,3.095102,3.095102,3.315102,2.458367,2.833586,2.77251,3.655102,2.585034
2,1,4.135918,4.635918,3.495918,4.275918,5.375918,4.715918,6.335918,5.475918,4.995918,4.312959,4.155918,4.595918,4.115918,3.155918,4.675918,3.135918,2.931728,5.475918,3.515918,5.295918,3.535918,3.595918,4.115918,3.275918,4.135918,3.955918,3.775918,4.615918,4.775918,2.731973,4.695918,4.795918,4.495918,4.815918,4.595918,4.535918,3.455918,3.692959,3.195918,4.195918,4.115918,3.338639,3.935918,4.255918,4.335918,5.615918,2.595918,3.875918,5.015918,4.155918,3.575918,4.655918,3.915918,3.895918,4.015918,2.915918,3.495918,3.495918,4.535918,3.375918
2,2,4.606531,5.406531,3.946531,4.946531,6.126531,5.206531,7.246531,5.948844,5.526531,4.786531,4.646531,5.146531,4.628265,3.666531,5.366531,3.606531,3.186531,6.046531,4.008265,5.846531,3.966531,3.969615,4.509133,3.686531,4.746531,4.466531,4.286531,5.088844,5.286531,3.146531,5.206531,5.286531,4.909504,5.466531,5.146531,5.246531,4.066531,4.166531,3.628265,4.666531,4.726531,3.646531,4.426531,4.886531,4.746531,6.086531,3.006531,4.366531,5.746531,4.646531,4.086531,5.426531,4.506531,4.246531,4.546531,3.308844,3.908844,4.046531,5.086531,3.866531
3,0,5.049082,6.088163,4.368163,5.288163,6.828163,5.688163,8.328163,6.388163,6.008163,5.248163,5.088163,5.708163,5.148163,4.069082,6.168163,4.088163,3.468163,6.628163,4.468163,6.348163,4.428163,4.419082,4.968163,4.148163,5.308163,4.828163,4.748163,5.548163,5.808163,3.568163,5.748163,5.788163,5.348163,6.028163,5.708163,5.948163,4.608163,4.608163,4.048163,5.108163,5.268163,4.039082,4.908163,5.388163,5.128163,6.548163,3.428163,4.828163,6.288163,5.128163,4.588163,6.008163,4.949388,4.708163,5.029082,3.759082,4.308163,4.508163,5.568163,4.309082
3,1,5.505306,6.745306,4.905306,5.705306,7.485306,6.405306,9.145306,6.885306,6.465306,5.705306,5.585306,6.345306,5.705306,4.625306,7.065306,4.645306,3.945306,7.225306,4.965306,6.925306,5.025306,4.845306,5.665306,4.645306,6.045306,5.225306,5.305306,6.045306,6.285306,3.985306,6.505306,6.265306,5.865306,6.725306,6.225306,6.605306,5.085306,5.105306,4.725306,5.717653,5.905306,4.445306,5.605306,5.945306,5.525306,7.105306,3.885306,5.605306,6.845306,5.585306,5.045306,6.705306,5.485306,5.325306,5.645306,4.185306,4.586913,5.005306,6.065306,4.805306
3,2,6.111429,7.251429,5.431429,6.511429,7.991429,7.011429,10.071429,7.631429,6.971429,6.291429,6.311429,6.871429,6.351429,5.191429,7.911429,5.151429,4.491429,7.731429,5.631429,7.431429,5.531429,5.351429,6.251429,5.191429,6.571429,5.671429,5.811429,6.771429,6.931429,4.491429,7.351429,6.931429,6.471429,7.611429,6.731429,7.111429,5.591429,5.611429,5.311429,6.211429,6.431429,4.915918,6.231429,6.591429,5.960714,7.611429,4.331429,6.131429,7.491429,6.071429,5.531429,7.211429,6.071429,5.831429,6.171429,4.691429,5.071429,5.511429,6.531429,5.311429
4,0,6.611633,8.060408,5.960408,7.000408,8.800408,7.640408,11.470816,8.190816,7.420408,6.800408,6.880408,7.680408,7.050816,5.640408,8.540408,5.800408,5.200408,8.700408,6.220408,8.020408,6.520408,5.881224,6.920408,5.640408,7.480408,6.140408,6.320408,7.350816,7.480408,4.960408,8.060408,7.540408,7.040408,8.160408,7.440408,8.060408,6.640408,6.120408,5.990816,7.400408,7.040408,5.240408,6.860408,7.230816,6.360408,8.120408,4.880408,6.560408,8.260408,6.580408,6.000408,7.990816,6.620408,6.530816,6.600408,5.210816,5.680408,6.400408,7.030816,5.800408
