,,pid1263b-12,pid52932-24,pid5667249-22,pid5667271-05,pid5667274b-06,pid58917-06,pid9048b-16,pid9049b-12,pid9050b-12,pid9054b-12,pid9055b-12,pid9056-07,pid9058b-12,pid9059b-16,pid9060b-10,pid9061b-09,pid9062b-15,pid9063b-16,pid9064-21,pid9066b-12,pid9068-20,pid9069-12,pid9070b-24,pid9072b-16,pid9074g-12,pid9075b-12,pid9085-16,pid9086-13,pid9088-22,pid9089-07,pid9090-21,pid9093b-18,pid9094b-12,pid9097-24,pid9099b-16,pid9101c-06,pid9102-07,pid9103-20,pid9104b-12,pid9111b-14,pid9116-20,pid9118b-16,pid9119-14,pid9121-07,pid9124-13,pid9127-06,pid9129-17,pid9130-11,pid9138b-12,pid9139b-12,pid9153b-12,pid915412b-21,pid9166l-10,pid9170b-12,pid9172-10,pid9174b-12,pid918713-20,pid918805-02,pid918812-13,pid918904-12,pid9190-09,pid9192b-12
1,2,0.732031,1.124218,1.164218,0.924218,3.244218,1.064218,1.664218,1.844218,0.664218,1.184218,0.904218,0.344218,0.293873,0.364218,0.564218,1.224218,0.951422,1.184218,0.424218,1.298435,0.101406,0.424218,0.644218,0.399036,2.404218,0.344218,0.877109,0.844218,0.484218,2.084218,2.324218,0.904218,0.984218,0.804218,0.384218,0.604218,1.304218,0.584218,0.804218,0.204218,1.044218,2.024218,0.337109,1.184218,0.554739,0.564218,0.404218,1.164218,0.604218,0.624218,0.964218,1.064218,0.864218,0.524218,1.124218,0.364218,1.344218,1.264218,0.533554,0.678435,0.801406,0.724218
2,0,1.246984,1.666984,1.766984,1.586984,3.726984,1.646984,2.286984,2.506984,1.146984,1.806984,1.526984,1.006984,0.726984,0.986984,0.946984,2.166984,1.326984,1.806984,0.966984,2.463968,0.706984,1.146984,1.086984,1.006984,2.946984,0.866984,1.486984,1.326984,1.140952,2.706984,2.846984,1.563968,1.626984,1.206984,0.846984,1.226984,1.746984,1.266984,1.346984,1.086984,1.666984,2.666984,0.966984,1.806984,1.106984,1.306984,1.046984,1.843968,1.326984,1.166984,1.566984,1.546984,1.286984,1.166984,1.686984,0.826984,1.886984,1.846984,1.086984,1.426984,1.366984,1.306984
2,1,2.053393,2.277143,2.577143,2.497143,4.317143,2.177143,2.977143,3.117143,1.817143,2.577143,2.217143,1.777143,1.437143,1.657143,1.617143,3.957143,2.064286,2.617143,1.637143,3.477143,1.517143,1.737143,1.473367,1.757143,3.577143,1.497143,2.297143,1.897143,2.077143,3.077143,3.317143,2.477143,2.417143,1.912714,1.537143,2.097143,2.337143,2.077143,2.137143,1.897143,2.497143,3.317143,1.517143,2.617143,1.899048,2.277143,1.857143,2.677143,2.237143,1.777143,2.097143,2.277143,1.797143,1.777143,2.417143,1.637143,2.617143,2.537143,1.879048,2.197143,1.917143,2.023571
2,2,2.557642,2.897642,3.159528,3.117642,4.783821,2.865283,3.503528,3.657642,2.557642,3.337642,3.097642,2.41191,2.177642,2.254607,2.257642,4.277642,2.697642,3.237642,2.537642,4.517642,2.043528,2.257642,1.837642,2.238455,4.277642,2.034607,2.877642,2.457642,2.697642,3.633665,3.897642,3.257642,2.917642,2.377642,2.137642,2.717642,2.891528,2.672764,2.75191,2.577642,3.117642,3.875528,2.033071,3.157642,2.677642,3.017642,2.477642,3.617642,3.117642,2.457642,2.617642,2.817642,2.313949,2.277642,3.057642,2.357642,3.237642,3.157642,2.657642,2.817642,2.537642,2.637642
3,0,3.07441,3.338821,3.658821,3.498821,5.298821,3.398821,3.987642,4.118821,3.038821,3.798821,3.578821,2.858821,2.738821,2.678821,2.758821,4.798821,3.138821,3.758821,2.987642,5.018821,2.48441,2.738821,2.178821,2.638821,4.758821,2.458821,3.378821,2.918821,3.00441,3.938821,4.338821,3.738821,3.418821,2.838821,2.598821,3.198821,3.20441,2.918821,3.198821,3.027642,3.698821,4.358821,2.338821,3.598821,3.198821,3.52441,3.098821,4.238821,3.738821,2.938821,3.058821,3.378821,2.638821,2.738821,3.547642,2.838821,3.63441,3.598821,3.178821,3.218821,3.018821,3.038821
3,1,3.47161,3.65161,4.15161,3.93161,5.854107,3.85161,4.430805,4.57161,3.47161,4.19161,4.03161,3.31161,3.27161,3.19161,3.15161,5.33161,3.59161,4.21161,3.47161,5.61161,2.93161,3.27161,2.55161,3.13161,5.19161,2.910201,3.95161,3.37161,3.63161,4.39161,4.81161,4.23161,3.91161,3.23161,3.03161,3.65161,3.510322,3.39161,3.63161,3.55161,4.15161,4.79161,2.79161,4.01161,3.63161,3.99161,3.57161,4.77161,4.25161,3.340805,3.55161,3.83161,3.025402,3.27161,4.05161,3.27161,3.99161,4.09161,3.61161,3.67161,3.47161,3.57161
3,2,4.091701,4.111701,4.731701,4.491701,6.191701,4.511701,4.951701,5.131701,4.151701,4.691701,4.611701,3.791701,3.831701,3.771701,3.711701,6.191701,4.011701,4.771701,4.431701,6.171701,3.491701,3.811701,2.98085,3.691701,5.851701,3.331701,4.571701,4.011701,4.191701,4.797234,5.391701,4.911701,4.531701,3.871701,3.5239,4.211701,3.98085,4.111701,4.191701,4.371701,4.751701,5.351701,3.271701,4.591701,4.191701,4.811701,4.391701,5.351701,4.811701,3.891701,4.211701,4.411701,3.411701,3.671701,4.491701,3.931701,4.491701,4.691701,4.231701,4.231701,4.051701,4.131701
4,0,4.524898,4.527449,5.104898,5.047449,6.664898,5.004898,5.398724,5.604898,4.704898,5.124898,5.084898,4.201633,4.284898,4.284898,4.104898,6.964898,4.484898,5.244898,4.984898,6.584898,3.904898,4.384898,3.353173,4.113173,6.324898,3.844898,5.124898,4.457449,4.647449,5.184898,5.884898,5.384898,5.064898,4.304898,3.984898,4.824898,4.253724,4.577449,4.701633,4.824898,5.204898,5.824898,3.713173,5.064898,4.864898,5.344898,4.924898,5.884898,5.284898,4.324898,4.744898,4.844898,3.867449,4.124898,4.964898,4.387449,4.984898,5.164898,4.844898,4.624898,4.584898,4.664898
4,1,5.142857,5.142857,5.602857,5.382857,7.202857,5.582857,5.882857,6.062857,5.382857,5.682857,5.562857,4.622857,4.762857,4.862857,4.562857,7.562857,4.942857,5.822857,5.442857,7.042857,4.342857,4.882857,3.742857,4.502857,6.762857,4.402857,5.642857,5.022857,5.042857,5.622857,6.362857,5.822857,5.522857,4.842857,4.442857,5.562857,4.522857,4.982857,5.102857,5.382857,5.762857,6.222857,4.022857,5.742857,5.562857,5.982857,5.502857,6.442857,5.802857,4.782857,5.222857,5.342857,4.202857,4.522857,5.322857,4.762857,5.522857,5.622857,5.542857,5.062857,5.162857,5.142857
4,2,5.674444,5.582222,6.074444,5.741111,7.654444,6.274444,6.334444,6.554444,5.934444,6.354444,6.054444,5.086111,5.374444,5.394444,5.154444,8.294444,5.534444,6.374444,6.294444,7.854444,4.854444,5.354444,4.117407,4.954444,7.214444,4.954444,6.194444,5.554444,5.454444,5.994444,6.794444,6.452222,5.954444,5.374444,4.914444,6.094444,4.834444,5.534444,5.654444,5.954444,6.201111,6.634444,4.417407,6.254444,6.034444,6.474444,6.154444,6.998889,6.274444,5.354444,5.694444,5.894444,4.634444,4.954444,5.754444,5.234444,6.074444,6.074444,6.014444,5.594444,5.594444,5.654444
